"outcome","respiratory","mean_beta","mean_adj_r2","mean_conditional_r2","significant_models","model1_beta","model1_p","model1_adjR2","model1_condR2","model2_beta","model2_p","model2_adjR2","model2_condR2","model3_beta","model3_p","model3_adjR2","model3_condR2","model4_beta","model4_p","model4_adjR2","model4_condR2"
"vas_fatiguecurrent","slopesmip_post_max",-0.276860657473915,0.0501205721242688,0.229021742142407,0,-0.266769008847708,0.188735077067278,0.0684749166136539,0.20455304095141,-0.206453976387154,0.338402964420995,0.102194440442405,0.253490443333403,-0.329692681677163,0.212388135651549,0.0450327832337277,NA,-0.304526962983634,0.29626014226176,-0.0152198517927111,NA
"vas_fatiguecurrent","slopesmip_pre_max",-0.31090569054826,0.0838730407148768,0.21160062594253,0,-0.22932500241642,0.246990056795317,0.0507503444199834,0.187623006794079,-0.190809907609439,0.348099928385234,0.0992664710343251,0.235578245090982,-0.42663065908942,0.0993584225683029,0.123586127794721,NA,-0.396857193077762,0.157185041781314,0.0618892196104781,NA
"vas_fatiguecurrent","smip_post_max",0.00503045747476965,0.0227534722410422,0.174890497475126,0,-0.167849696167283,0.313878846446013,0.0271143188297949,0.169951855424467,-0.161496797537372,0.33939190482333,0.0984938227370635,0.179829139525784,0.183630601411847,0.413346600274916,-0.0145937923363797,NA,0.165837722191887,0.465436970924271,-0.0200004602663102,NA
"vas_fatiguecurrent","smip_pre_max",0.130750351260019,0.0454538977259465,0.113139947164971,0,-0.0616818102854197,0.714925665163861,0.0036867617416884,0.110107062725767,-0.0320874340210859,0.857110660727131,0.0784656970568443,0.116172831604176,0.324515740504859,0.140620276562997,0.0605759891271878,NA,0.292254908841722,0.209075135840145,0.0390871429780655,NA
"vas_fatiguecurrent","volume_post_max",-0.155585724059112,0.0245445819612414,0.285660977431334,0,-0.255792987111397,0.118293200239188,0.0615922767396763,0.272562593168449,-0.278891946599914,0.101201576379873,0.126987610450023,0.298759361694218,0.0150221896792292,0.947098508357839,-0.0497630505081033,NA,-0.102680152204366,0.669607176745794,-0.0406385088366303,NA
"vas_fatiguecurrent","volume_pre_max",0.198392433559859,0.0270831085669085,0.146877233949228,0,0.183767485462847,0.284841901401865,0.0326466512197499,0.130843198495229,0.21003393414917,0.357204962176348,0.0901338422456275,0.162911269403227,0.264282447691586,0.234631087723071,0.0233374727657488,NA,0.135485866935833,0.631429319492477,-0.0377855319634923,NA
"woods_sum","fit_post_max",-0.106308333401118,-0.0324169959428693,0.476650307513921,0,-0.0985758970396407,0.550724789963088,0.0094366180221461,0.456882739873108,-0.111767726413031,0.516912822252018,0.0218502193963706,0.496417875154734,-0.0867773722438452,0.700986629528754,-0.0420931720497759,NA,-0.128112337907955,0.595406679180419,-0.118861649140218,NA
"woods_sum","fit_pre_max",-0.0122905324226217,-0.0441602710167195,0.472244616427901,0,-0.0162368113549588,0.921825290036878,0.000255868183967023,0.452871177815987,-0.0218433836983573,0.898600674499243,0.00988104227772382,0.491618055039815,0.00330958602310862,0.988337597217622,-0.0499884989723733,NA,-0.0143915206602794,0.951689163869376,-0.136789495556196,NA
"woods_sum","id_post_max",-0.0154051132105437,-0.0612897195601309,0.682311223192943,0,-0.0613973840495065,0.759385008169825,0.00361420825933582,0.665827875616336,-0.0468239210249325,0.823121809542032,0.0256608209741448,0.69879457076955,0.011437454212078,0.966467099007121,-0.0712884121155142,NA,0.0351633980201864,0.905503796917301,-0.20314549535849,NA
"woods_sum","id_pre_max",0.0817811906998471,-0.0476665226682937,0.677514550727522,0,-0.0116041944313654,0.95109257523496,0.00012943142801824,0.662316408015412,0.007103991289938,0.97147645145345,0.0237940172053441,0.692712693439633,0.144547311496705,0.593267763057552,-0.0490422229347227,NA,0.187077654444111,0.537822711374893,-0.165547316371814,NA
"woods_sum","mip_post_max",-0.353585638575993,0.0761891301636768,0.672864410672046,2,-0.402500039641767,0.00294900109593783,0.150611025730722,0.661531010882053,-0.408510762343745,0.0033304394172457,0.142429593316598,0.684197810462038,-0.303701776900448,0.169426086392699,0.0468465077571141,NA,-0.29962997541801,0.199762073427962,-0.0351306061497274,NA
"woods_sum","mip_post_max_percentpredict_1",-0.386376294257829,0.0972850385238808,0.694134401991678,2,-0.41642479741022,0.00177125596828825,0.159140255711916,0.685783503642015,-0.430566181524637,0.00153943223168235,0.162840643590203,0.70248530034134,-0.288198646503963,0.193371326681583,0.0372113828390525,NA,-0.410315551592498,0.0953536408818171,0.0299478719543513,NA
"woods_sum","mip_post_max_percentpredict_2",-0.34752188584752,0.0710322438572694,0.718557474803649,2,-0.43215909824937,0.00129828641816701,0.166196337039687,0.710693016190094,-0.448245488946228,0.00108770919235961,0.168345812479087,0.726421933417204,-0.1997931413395,0.372689066615727,-0.00808683570737911,NA,-0.309889814854982,0.21719915543531,-0.0423263383823171,NA
"woods_sum","mip_pre_max",-0.351023654035523,0.0767893102949699,0.683635035556556,2,-0.421778137418712,0.0014230292434829,0.167640381458566,0.673261579520453,-0.426441226236168,0.00169015993869965,0.157186794646591,0.694008491592659,-0.286137123870937,0.196719589030283,0.0359681763399883,NA,-0.269738128616275,0.248141617827306,-0.053638111265266,NA
